alias_key,raw_alias,language,preferred_targets,notes
react,React,en,react(reactjs|react,ReactJS family
reactjs,ReactJS,en,react(reactjs|react,
react.js,React.js,en,react(reactjs|react,
react_js,React JS,en,react(reactjs|react,
vue,Vue,en,vue.js(vue/vuejs|vue.js|vue,
vuejs,VueJS,en,vue.js(vue/vuejs|vue.js|vue,
vue.js,Vue.js,en,vue.js(vue/vuejs|vue.js|vue,
nodejs,NodeJS,en,node.js(node/nodejs|node.js|nodejs,
node_js,Node JS,en,node.js(node/nodejs|node.js|nodejs,
node,Node,en,node.js(node/nodejs|node.js|nodejs,abbreviation → Node.js
node.js,Node.js,en,node.js(node/nodejs|node.js,
typescript,TypeScript,en,typescript|ts,
aws,AWS,en,amazon_web_services_(aws|aws,
amazon_web_services,Amazon Web Services,en,amazon_web_services_(aws|aws,
azure,Azure,en,azure(microsoft_azure|azure,
k8s,K8s,en,kubernetes(k8s|kubernetes|k8s,
kubernetes,Kubernetes,en,kubernetes(k8s|kubernetes,
js,JS,en,javascript,
ts,TS,en,typescript,
golang,Golang,en,go|golang,
postgres,Postgres,en,postgresql|postgres,
postgresql,PostgreSQL,en,postgresql|postgres,
mssql,MSSQL,en,ms_sql(mssql/sql_server|sql_server|mssql,
sql_server,SQL Server,en,ms_sql(mssql/sql_server|sql_server,
tf,TF,en,tensorflow,
torch,Torch,en,pytorch,
sklearn,sklearn,en,scikit-learn|sklearn,
scikit-learn,scikit-learn,en,scikit-learn|sklearn,
kubernete,Kubernete,en,kubernetes(k8s|kubernetes,typo tolerance
gcp,GCP,en,google_cloud_platform_(gcp|gcp|google_cloud,
google_cloud,Google Cloud,en,google_cloud_platform_(gcp|gcp|google_cloud,
dotnet,.NET,en,.net|.net_core|dotnet,
.net,.NET,en,.net|.net_core|dotnet,
csharp,CSharp,en,c#|csharp,
c_sharp,C Sharp,en,c#|csharp,
cpp,CPP,en,c/c++|c++|cpp,do not merge to C alone
cplusplus,CPlusPlus,en,c/c++|c++|cpp,
nextjs,NextJS,en,next.js|nextjs|next,
next.js,Next.js,en,next.js|nextjs|next,
nuxt,Nuxt,en,nuxt.js|nuxt,
nuxtjs,NuxtJS,en,nuxt.js|nuxt,
angularjs,AngularJS,en,angular|angularjs,
angular.js,Angular.js,en,angular|angularjs,
springboot,SpringBoot,en,spring_boot|springboot|spring,
spring_boot,Spring Boot,en,spring_boot|springboot|spring,
powershell,PowerShell,en,powershell|windows_powershell,
ai,AI,en,ai|artificial_intelligence,short allowlist skill
ml,ML,en,machine_learning|ml,
nlp,NLP,en,natural_language_processing|nlp,
etl,ETL,en,etl,
ci_cd,CI/CD,en,ci/cd|cicd|ci_cd,
cicd,CICD,en,ci/cd|cicd|ci_cd,
k8s_cluster,K8s cluster,en,kubernetes(k8s|kubernetes,
正航,正航,zh,正航,Taiwan ERP
nx,NX,en,nx,Siemens NX
hp,HP,en,hp,brand / hardware skill token
edm,EDM,en,edm、banner設計與製作|edm,email marketing compound in structured seed
banner,Banner,en,edm、banner設計與製作|banner,
